Tên tỉnh,Các tỉnh hợp thành,Dân số (người),Diện tích (km2)
Hà Nội,Hà Nội,8718000,3359.82
Huế,Huế,1236393,4947.10
Quảng Ninh,Quảng Ninh,1429841,6207.90
Cao Bằng,Cao Bằng,555809,6700.40
Lạng Sơn,Lạng Sơn,813978,8310.20
Lai Châu,Lai Châu,494626,9068.70
Điện Biên,Điện Biên,653422,9539.90
Sơn La,Sơn La,1327430,14109.80
Thanh Hóa,Thanh Hóa,3760650,11114.70
Nghệ An,Nghệ An,3470988,16493.70
Hà Tĩnh,Hà Tĩnh,1622901,5994.40
Tuyên Quang,"Hà Giang,Tuyên Quang",1865270,13795.50
Lào Cai,"Lào Cai,Yên Bái",1778785,13256.92
Thái Nguyên,"Thái Nguyên,Bắc Kạn",1799489,8375.21
Phú Thọ,"Hòa Bình,Vĩnh Phúc,Phú Thọ",4022638,9361.38
Bắc Ninh,"Bắc Ninh,Bắc Giang",3619433,4718.60
Hưng Yên,"Hưng Yên,Thái Bình",3567943,2514.81
Hải Phòng,"Hải Phòng,Hải Dương",4664124,3194.72
Ninh Bình,"Hà Nam,Nam Định,Ninh Bình",4412264,3942.62
Quảng Trị,"Quảng Bình,Quảng Trị",1870845,12700.00
Đà Nẵng,"Quảng Nam,Đà Nẵng",3065628,11859.59
Quảng Ngãi,"Kon Tum,Quảng Ngãi",2161755,14832.55
Gia Lai,"Gia Lai,Bình Định",3583693,21576.53
Khánh Hòa,"Ninh Thuận,Khánh Hòa",2243554,8555.86
Lâm Đồng,"Đắk Nông,Bình Thuận,Lâm Đồng",3872999,24233.07
Đắk Lắk,"Phú Yên,Đắk Lắk",3346853,18096.40
Hồ Chí Minh,"Bà Rịa - Vũng Tàu,Bình Dương,Hồ Chí Minh",14002598,6772.59
Đồng Nai,"Bình Phước,Đồng Nai",4491408,12737.18
Tây Ninh,"Tây Ninh,Long An",3254170,8536.44
Cần Thơ,"Sóc Trăng,Hậu Giang,Cần Thơ",4199824,6360.83
Vĩnh Long,"Bến Tre,Vĩnh Long,Trà Vinh",4257581,6296.20
Đồng Tháp,"Tiền Giang,Đồng Tháp",4370046,5938.64
Cà Mau,"Bạc Liêu,Cà Mau",2606672,7942.39
An Giang,"Kiên Giang,An Giang",4952238,9888.91